action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
,left,,,not changed,1800,1500,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,unsatisfied->satisfied,3,keep retracted lateral,lateral,1500,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1800,1500,C3,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,unsatisfied->satisfied,1,,,1530,between cystic artery and cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
dissect,right,,,,1800,1500,C3,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,unsatisfied->satisfied,1,,,1710,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera zooms out,camera,,The camera zooms out,,1800,1500,C3,The camera zooms out.,,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,unsatisfied->satisfied,2,,,1500,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera repositions,camera,,The camera repositions,,1800,1500,C3,The camera repositions.,,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,unsatisfied->satisfied,2,,,1650,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
The camera repositions,camera,,The camera repositions,,150,0,C1,The camera repositions.,,150,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000000_000150,unsatisfied->satisfied,2,,,0,,,,,,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983
The camera zooms out,camera,,The camera zooms out,,750,600,C1,The camera zooms out.,,750,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000600_000750,unsatisfied->satisfied,2,,,600,,,,,,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983
The camera zooms out,camera,,The camera zooms out,,1350,1050,C1,The camera zooms out.,,1200,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001050_001350,unsatisfied->satisfied,2,,,1050,,,,,,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983
The camera zooms out,camera,,The camera zooms out,,2250,1650,C1,The camera zooms out.,,1950,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,unsatisfied->satisfied,2,,,1800,,,,,,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983
The camera zooms in,camera,,The camera zooms in,,2250,1650,C1,The camera zooms in.,,2250,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,unsatisfied->satisfied,2,,,2100,,,,,,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983
The camera zooms out,camera,,The camera zooms out,,1350,1050,C2,The camera zooms out.,,1200,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C2__avg__c_001050_001350,unsatisfied->satisfied,2,,,1050,,,,,,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983
,left,,,not changed,450,0,C1,The grasper keeps the gallbladder neck retracted upward.,upward,450,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_000000_000450,unsatisfied->satisfied,2,keep retracted upward,upward,0,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
dissect,right,,,,450,0,C1,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,150,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_000000_000450,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",1cd76ca0-9ddb-4204-a783-bd245a6cc604
,left,,,changed,1950,1200,C1,The grasper retracts the gallbladder neck from upward to lateral.,lateral,1500,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,unsatisfied->satisfied,1,retract from upward to lateral,upward,1470,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
clip,right,,,,1950,1200,C1,The clipper clips the cystic duct.,,1440,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,unsatisfied->satisfied,3,,,1200,,,cystic duct,clipper,"[""clipper"", ""clip"", ""cystic duct""]",1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera is uncertain,camera,,The camera is uncertain,,1950,1200,C1,The camera is uncertain.,,1350,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,unsatisfied->satisfied,2,,,1200,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera is uncertain,camera,,The camera is uncertain,,1950,1200,C1,The camera is uncertain.,,1650,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,unsatisfied->satisfied,2,,,1350,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera is uncertain,camera,,The camera is uncertain,,1950,1200,C1,The camera is uncertain.,,1800,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,unsatisfied->satisfied,2,,,1650,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
,left,,,not changed,600,0,C2,The grasper keeps the gallbladder neck retracted upward.,upward,600,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,unsatisfied->satisfied,2,keep retracted upward,upward,0,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
dissect,right,,,,600,0,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,150,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",1cd76ca0-9ddb-4204-a783-bd245a6cc604
clip,right,,,,600,0,C2,The clipper clips the hepatocystic triangle.,,600,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,unsatisfied->satisfied,1,,,570,,,hepatocystic triangle,clipper,"[""clipper"", ""clip"", ""hepatocystic triangle""]",1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera repositions,camera,,The camera repositions,,600,0,C2,The camera repositions.,,150,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,unsatisfied->satisfied,3,,,0,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera repositions,camera,,The camera repositions,,600,0,C2,The camera repositions.,,300,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,unsatisfied->satisfied,3,,,150,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera zooms out,camera,,The camera zooms out,,600,0,C2,The camera zooms out.,,600,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,unsatisfied->satisfied,3,,,450,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
,left,,,changed,1950,1200,C2,The grasper retracts the gallbladder neck from upward to lateral.,lateral,1530,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,unsatisfied->satisfied,1,retract from upward to lateral,upward,1410,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
clip,right,,,,1950,1200,C2,The clipper clips the cystic duct.,,1440,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,unsatisfied->satisfied,3,,,1200,,,cystic duct,clipper,"[""clipper"", ""clip"", ""cystic duct""]",1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera is uncertain,camera,,The camera is uncertain,,1950,1200,C2,The camera is uncertain.,,1350,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,unsatisfied->satisfied,2,,,1200,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
The camera is uncertain,camera,,The camera is uncertain,,1950,1200,C2,The camera is uncertain.,,1650,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,unsatisfied->satisfied,2,,,1350,,,,,,1cd76ca0-9ddb-4204-a783-bd245a6cc604
,left,,,not changed,450,0,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,450,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,unsatisfied->satisfied,2,keep retracted lateral,lateral,0,,,,,,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a
dissect,right,,,,450,0,C2,The maryland dissects around the cystic artery.,,30,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,unsatisfied->satisfied,1,,,0,,,cystic artery,maryland,"[""maryland"", ""dissect"", ""cystic artery""]",1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a
irrigator aspirate,right,,,,450,0,C2,"The irrigator irrigator aspirate the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,300,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,unsatisfied->satisfied,1,,,240,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,irrigator,"[""irrigator"", ""irrigator aspirate"", ""hepatocystic triangle""]",1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a
,left,,,not changed,1050,750,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1050,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000750_001050,unsatisfied->satisfied,2,keep retracted lateral,lateral,750,,,,,,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a
The camera repositions,camera,,The camera repositions,,1050,750,C2,The camera repositions.,,900,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000750_001050,unsatisfied->satisfied,1,,,750,,,,,,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a
,left,,,changed,900,450,C2,The grasper retracts the gallbladder neck from not retracted to medial.,medial,690,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_000450_000900,unsatisfied->satisfied,2,retract to medial,not retracted,600,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
dissect,right,,,,900,450,C2,"The maryland dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,900,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,690,between presumed cystic duct and presumed cystic artery,,cystic duct,maryland,"[""maryland"", ""dissect"", ""cystic duct""]",1ff8fc19-8a7f-42e1-b8a4-30a25194c981
The camera zooms in,camera,,The camera zooms in,,900,450,C2,The camera zooms in.,,750,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_000450_000900,unsatisfied->satisfied,3,,,600,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
,left,,,not changed,1650,1200,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1650,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_001200_001650,unsatisfied->satisfied,3,keep retracted lateral,lateral,1200,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
dissect,right,,,,1650,1200,C2,"The maryland dissects around the hepatocystic triangle, near the cystic duct, and between presumed cystic duct and presumed cystic artery.",,1650,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_001200_001650,unsatisfied->satisfied,1,,,1200,near the cystic duct,between presumed cystic duct and presumed cystic artery,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",1ff8fc19-8a7f-42e1-b8a4-30a25194c981
The camera repositions,camera,,The camera repositions,,1650,1200,C2,The camera repositions.,,1500,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_001200_001650,unsatisfied->satisfied,2,,,1200,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
,left,,,changed,2400,2250,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2400,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_002250_002400,unsatisfied->satisfied,2,retract to lateral,not retracted,2250,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
clip,right,,,,2400,2250,C2,The clipper clips the cystic duct.,,2400,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_002250_002400,unsatisfied->satisfied,3,,,2250,,,cystic duct,clipper,"[""clipper"", ""clip"", ""cystic duct""]",1ff8fc19-8a7f-42e1-b8a4-30a25194c981
The camera zooms in,camera,,The camera zooms in,,2400,2250,C2,The camera zooms in.,,2400,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C2__avg__c_002250_002400,unsatisfied->satisfied,1,,,2250,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
,left,,,changed,900,450,C3,The grasper retracts the gallbladder neck from not retracted to medial.,medial,690,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C3__avg__c_000450_000900,unsatisfied->satisfied,2,retract to medial,not retracted,600,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
dissect,right,,,,900,450,C3,"The maryland dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,900,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C3__avg__c_000450_000900,unsatisfied->satisfied,1,,,690,between presumed cystic duct and presumed cystic artery,,cystic duct,maryland,"[""maryland"", ""dissect"", ""cystic duct""]",1ff8fc19-8a7f-42e1-b8a4-30a25194c981
The camera zooms in,camera,,The camera zooms in,,900,450,C3,The camera zooms in.,,750,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C3__avg__c_000450_000900,unsatisfied->satisfied,3,,,600,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
,left,,,not changed,1650,1200,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,1650,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C3__avg__c_001200_001650,unsatisfied->satisfied,3,keep retracted lateral,lateral,1200,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
dissect,right,,,,1650,1200,C3,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1650,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C3__avg__c_001200_001650,unsatisfied->satisfied,1,,,1200,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",1ff8fc19-8a7f-42e1-b8a4-30a25194c981
The camera repositions,camera,,The camera repositions,,1650,1200,C3,The camera repositions.,,1500,1ff8fc19-8a7f-42e1-b8a4-30a25194c981__C3__avg__c_001200_001650,unsatisfied->satisfied,2,,,1200,,,,,,1ff8fc19-8a7f-42e1-b8a4-30a25194c981
,left,,,not changed,2250,1650,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,2105qd2c-diku-c2ql-nmzq-zdf8rj7j2ule__C1__avg__c_001650_002250,unsatisfied->satisfied,2,keep retracted lateral,lateral,1650,,,,,,2105qd2c-diku-c2ql-nmzq-zdf8rj7j2ule
dissect,right,,,,2250,1650,C1,"The scissors dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1950,2105qd2c-diku-c2ql-nmzq-zdf8rj7j2ule__C1__avg__c_001650_002250,unsatisfied->satisfied,1,,,1650,between cystic artery and cystic plate,,hepatocystic triangle,scissors,"[""scissors"", ""dissect"", ""hepatocystic triangle""]",2105qd2c-diku-c2ql-nmzq-zdf8rj7j2ule
dissect,right,,,,2250,1650,C1,"The scissors dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,2250,2105qd2c-diku-c2ql-nmzq-zdf8rj7j2ule__C1__avg__c_001650_002250,unsatisfied->satisfied,1,,,1950,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,scissors,"[""scissors"", ""dissect"", ""hepatocystic triangle""]",2105qd2c-diku-c2ql-nmzq-zdf8rj7j2ule
,left,,,changed,1800,1350,C1,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,1800,215b09a5-a33d-45d7-8cb0-a7be8474ff01__C1__avg__c_001350_001800,unsatisfied->satisfied,1,retract to lateral,not retracted,1530,,,,,,215b09a5-a33d-45d7-8cb0-a7be8474ff01
The camera repositions,camera,,The camera repositions,,1800,1350,C1,The camera repositions.,,1650,215b09a5-a33d-45d7-8cb0-a7be8474ff01__C1__avg__c_001350_001800,unsatisfied->satisfied,2,,,1350,,,,,,215b09a5-a33d-45d7-8cb0-a7be8474ff01
,left,,,changed,1800,1200,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,1800,215b09a5-a33d-45d7-8cb0-a7be8474ff01__C2__avg__c_001200_001800,unsatisfied->satisfied,1,retract to lateral,not retracted,1530,,,,,,215b09a5-a33d-45d7-8cb0-a7be8474ff01
The camera repositions,camera,,The camera repositions,,1800,1200,C2,The camera repositions.,,1650,215b09a5-a33d-45d7-8cb0-a7be8474ff01__C2__avg__c_001200_001800,unsatisfied->satisfied,2,,,1200,,,,,,215b09a5-a33d-45d7-8cb0-a7be8474ff01
,left,,,changed,1800,1350,C3,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,1800,215b09a5-a33d-45d7-8cb0-a7be8474ff01__C3__avg__c_001350_001800,unsatisfied->satisfied,1,retract to lateral,not retracted,1530,,,,,,215b09a5-a33d-45d7-8cb0-a7be8474ff01
The camera repositions,camera,,The camera repositions,,1800,1350,C3,The camera repositions.,,1650,215b09a5-a33d-45d7-8cb0-a7be8474ff01__C3__avg__c_001350_001800,unsatisfied->satisfied,2,,,1350,,,,,,215b09a5-a33d-45d7-8cb0-a7be8474ff01
,left,,,changed,1500,900,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1140,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_000900_001500,unsatisfied->satisfied,1,retract from medial to lateral,medial,1110,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,1500,900,C1,The maryland dissects around the hepatocystic triangle.,,1110,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_000900_001500,unsatisfied->satisfied,2,,,900,,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,1500,900,C1,"The maryland dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1200,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_000900_001500,unsatisfied->satisfied,2,,,1140,between presumed cystic duct and presumed cystic artery,,cystic duct,maryland,"[""maryland"", ""dissect"", ""cystic duct""]",23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,1500,900,C1,"The maryland dissects around the cystic artery, between cystic artery and cystic plate.",,1500,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_000900_001500,unsatisfied->satisfied,2,,,1230,between cystic artery and cystic plate,,cystic artery,maryland,"[""maryland"", ""dissect"", ""cystic artery""]",23643717-6c56-49ef-8761-29b64ca47a6d
,left,,,not changed,2100,1800,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_001800_002100,unsatisfied->satisfied,3,keep retracted lateral,lateral,1800,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,2100,1800,C1,"The maryland dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,2100,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_001800_002100,unsatisfied->satisfied,1,,,1800,between cystic artery and cystic plate,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23643717-6c56-49ef-8761-29b64ca47a6d
The camera repositions,camera,,The camera repositions,,2100,1800,C1,The camera repositions.,,2100,23643717-6c56-49ef-8761-29b64ca47a6d__C1__avg__c_001800_002100,unsatisfied->satisfied,2,,,1800,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
,left,,,not changed,300,0,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,300,23643717-6c56-49ef-8761-29b64ca47a6d__C2__avg__c_000000_000300,unsatisfied->satisfied,2,keep retracted lateral,lateral,0,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,300,0,C2,"The maryland dissects around the hepatocystic triangle, near the cystic duct, and near the base of the hepatocystic triangle.",,300,23643717-6c56-49ef-8761-29b64ca47a6d__C2__avg__c_000000_000300,unsatisfied->satisfied,1,,,0,near the cystic duct,near the base of the hepatocystic triangle,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23643717-6c56-49ef-8761-29b64ca47a6d
,left,,,changed,1500,900,C2,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1140,23643717-6c56-49ef-8761-29b64ca47a6d__C2__avg__c_000900_001500,unsatisfied->satisfied,2,retract from medial to lateral,medial,1110,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,1500,900,C2,The maryland dissects around the hepatocystic triangle.,,1110,23643717-6c56-49ef-8761-29b64ca47a6d__C2__avg__c_000900_001500,unsatisfied->satisfied,1,,,900,,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,1500,900,C2,"The maryland dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1200,23643717-6c56-49ef-8761-29b64ca47a6d__C2__avg__c_000900_001500,unsatisfied->satisfied,1,,,1140,between presumed cystic duct and presumed cystic artery,,cystic duct,maryland,"[""maryland"", ""dissect"", ""cystic duct""]",23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,1500,900,C2,"The maryland dissects around the cystic artery, between cystic artery and cystic plate.",,1500,23643717-6c56-49ef-8761-29b64ca47a6d__C2__avg__c_000900_001500,unsatisfied->satisfied,1,,,1230,between cystic artery and cystic plate,,cystic artery,maryland,"[""maryland"", ""dissect"", ""cystic artery""]",23643717-6c56-49ef-8761-29b64ca47a6d
,left,,,not changed,300,0,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,300,23643717-6c56-49ef-8761-29b64ca47a6d__C3__avg__c_000000_000300,unsatisfied->satisfied,1,keep retracted lateral,lateral,0,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
dissect,right,,,,300,0,C3,"The maryland dissects around the hepatocystic triangle, near cystic duct, and near the base of the hepatocystic triangle.",,300,23643717-6c56-49ef-8761-29b64ca47a6d__C3__avg__c_000000_000300,unsatisfied->satisfied,3,,,0,near cystic duct,near the base of the hepatocystic triangle,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23643717-6c56-49ef-8761-29b64ca47a6d
The camera does not change,camera,,The camera does not change,,300,0,C3,The camera does not change.,,300,23643717-6c56-49ef-8761-29b64ca47a6d__C3__avg__c_000000_000300,unsatisfied->satisfied,2,,,0,,,,,,23643717-6c56-49ef-8761-29b64ca47a6d
,left,,,changed,2250,1500,C1,The grasper retracts the gallbladder neck from upward to lateral.,lateral,1770,23823c8c-b3d2-48db-b1e0-660ac006dd25__C1__avg__c_001500_002250,unsatisfied->satisfied,2,retract from upward to lateral,upward,1740,,,,,,23823c8c-b3d2-48db-b1e0-660ac006dd25
sweeping,right,,,,2250,1500,C1,The maryland sweeping the hepatocystic triangle.,,1710,23823c8c-b3d2-48db-b1e0-660ac006dd25__C1__avg__c_001500_002250,unsatisfied->satisfied,1,,,1500,,,hepatocystic triangle,maryland,"[""maryland"", ""sweeping"", ""hepatocystic triangle""]",23823c8c-b3d2-48db-b1e0-660ac006dd25
The camera zooms out,camera,,The camera zooms out,,2250,1500,C1,The camera zooms out.,,1800,23823c8c-b3d2-48db-b1e0-660ac006dd25__C1__avg__c_001500_002250,unsatisfied->satisfied,3,,,1770,,,,,,23823c8c-b3d2-48db-b1e0-660ac006dd25
,left,,,not changed,750,450,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,750,23823c8c-b3d2-48db-b1e0-660ac006dd25__C2__avg__c_000450_000750,unsatisfied->satisfied,1,keep retracted lateral,lateral,450,,,,,,23823c8c-b3d2-48db-b1e0-660ac006dd25
dissect,right,,,,750,450,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,510,23823c8c-b3d2-48db-b1e0-660ac006dd25__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,450,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23823c8c-b3d2-48db-b1e0-660ac006dd25
dissect,right,,,,750,450,C2,"The maryland dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,600,23823c8c-b3d2-48db-b1e0-660ac006dd25__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,570,between cystic artery and cystic plate,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23823c8c-b3d2-48db-b1e0-660ac006dd25
dissect,right,,,,750,450,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,750,23823c8c-b3d2-48db-b1e0-660ac006dd25__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,690,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",23823c8c-b3d2-48db-b1e0-660ac006dd25
,left,,,not changed,1350,900,C1,The grasper keeps the gallbladder neck retracted upward.,upward,1350,24ad0a4b-903d-44d3-b74b-c7fb5f906ec0__C1__avg__c_000900_001350,unsatisfied->satisfied,2,keep retracted upward,upward,900,,,,,,24ad0a4b-903d-44d3-b74b-c7fb5f906ec0
dissect,right,,,,1350,900,C1,"The maryland dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,1350,24ad0a4b-903d-44d3-b74b-c7fb5f906ec0__C1__avg__c_000900_001350,unsatisfied->satisfied,1,,,900,between presumed cystic duct and presumed cystic artery,,cystic artery,maryland,"[""maryland"", ""dissect"", ""cystic artery""]",24ad0a4b-903d-44d3-b74b-c7fb5f906ec0
The camera repositions,camera,,The camera repositions,,2400,1950,C1,The camera repositions.,,2190,24ad0a4b-903d-44d3-b74b-c7fb5f906ec0__C1__avg__c_001950_002400,unsatisfied->satisfied,1,,,2130,,,,,,24ad0a4b-903d-44d3-b74b-c7fb5f906ec0
,left,,,not changed,1350,900,C1,The grasper keeps the gallbladder neck retracted upward.,upward,1350,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_000900_001350,unsatisfied->satisfied,2,keep retracted upward,upward,900,,,,,,271401a1-821f-46ce-9895-41d4da92c568
dissect,right,,,,1350,900,C1,"The hook dissects around the cystic duct, on the outside of cystic duct.",,1170,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_000900_001350,unsatisfied->satisfied,1,,,900,on the outside of cystic duct,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",271401a1-821f-46ce-9895-41d4da92c568
