sentence,vid,example_id,region,rank,cluster_id,actor_role,tool_type,action_code,target_structure,target_relation,direction,view_change,effect,effect_structure,landmark_confidence,causal_for_mind_change
"The left grasper retracts the gallbladder upward and laterally, exposing the hepatocystic triangle for dissection.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,coarse,1,51,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder laterally to expose the hepatocystic triangle for dissection.,021ebd6a-3195-40ac-b86d-99ac5e5ef621,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,coarse,2,51,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder neck laterally, exposing the hepatocystic triangle for dissection.",10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,fine_0,2,51,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder neck laterally, exposing the hepatocystic triangle for dissection.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,fine_0,2,51,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder neck laterally, exposing the hepatocystic triangle for dissection.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,coarse,2,51,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder laterally to reveal the cleared anterior aspect of the hepatocystic triangle.,0e5b6b69-2ddb-497e-bc25-aad5fe062df8,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,fine_0,1,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral+anterior,none,unknown,HepatocysticTriangle,unknown,
The left grasper retracts peritoneum laterally to maintain exposure of the hepatocystic triangle.,004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,coarse,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder laterally to reveal the cleared anterior aspect of the hepatocystic triangle.,0e5b6b69-2ddb-497e-bc25-aad5fe062df8,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,coarse,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral+anterior,none,unknown,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder laterally, maintaining exposure of the hepatocystic triangle.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,fine_0,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder neck laterally and upward, maintaining exposure of the hepatocystic triangle.",004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,coarse,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder neck laterally to expose the cleared hepatocystic triangle.,10dea02a-5502-4f05-ba3b-191e38fe4b29,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,fine_0,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder neck upward and lateral, maintaining exposure of the hepatocystic triangle.",10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,coarse,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder neck upward and laterally to maintain exposure of the hepatocystic triangle.,144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,fine_0,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward and lateral to maintain exposure of the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,coarse,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward and lateral to maintain exposure of the hepatocystic triangle.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,fine_0,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward and laterally, exposing the hepatocystic triangle.",144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,coarse,2,53,left_instrument,Grasper,RETRACT_LATERAL,HepatocysticTriangle,unknown,cephalad/upward+lateral,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder infundibulum laterally to expose the liver bed.,021ebd6a-3195-40ac-b86d-99ac5e5ef621,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C3__avg__c_000450_000900,fine_0,1,48,left_instrument,Grasper,RETRACT_LATERAL,LiverBed,unknown,lateral,none,improve_exposure,LiverBed,unknown,
The left grasper retracts the gallbladder laterally to expose the liver bed.,10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,fine_1,2,48,left_instrument,Grasper,RETRACT_LATERAL,LiverBed,unknown,lateral,none,improve_exposure,LiverBed,unknown,
"The left grasper retracts the gallbladder laterally, lifting it from the liver bed.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,coarse,2,48,left_instrument,Grasper,RETRACT_LATERAL,LiverBed,on,lateral,none,unknown,LiverBed,unknown,
The left grasper retracts the gallbladder laterally to expose the dissection plane on the liver bed.,10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,coarse,2,50,left_instrument,Grasper,RETRACT_LATERAL,LiverBed,unknown,lateral,none,improve_exposure,LiverBed,unknown,
"The left grasper retracts the gallbladder laterally, exposing the liver bed for dissection.",01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,coarse,2,51,left_instrument,Grasper,RETRACT_LATERAL,LiverBed,unknown,lateral,none,improve_exposure,LiverBed,unknown,
"The left grasper retracts the gallbladder neck laterally, revealing apparent detachment of the lower third of the gallbladder from the liver bed.",021ebd6a-3195-40ac-b86d-99ac5e5ef621,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C3__avg__c_000450_000900,coarse,1,57,left_instrument,Grasper,RETRACT_LATERAL,LiverBed,on,lateral,none,unknown,LiverBed,low,
"The left grasper retracts the gallbladder upward and lateral at the neck/infundibulum, exposing the two tubular structures clearly.",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,fine_0,1,45,left_instrument,Grasper,RETRACT_LATERAL,TwoTubularStructures,unknown,cephalad/upward+lateral,none,improve_exposure,TwoTubularStructures,high,
"The left grasper retracts the gallbladder upward and laterally, improving exposure of the two tubular structures.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,fine_0,1,45,left_instrument,Grasper,RETRACT_LATERAL,TwoTubularStructures,unknown,cephalad/upward+lateral,none,improve_exposure,TwoTubularStructures,unknown,
"The left grasper retracts the gallbladder neck laterally, exposing the two tubular structures clearly.",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,coarse,2,45,left_instrument,Grasper,RETRACT_LATERAL,TwoTubularStructures,unknown,lateral,none,improve_exposure,TwoTubularStructures,high,
The off-screen left grasper maintains stable lateral retraction on the gallbladder.,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000750_001050,coarse,1,37,offscreen,Grasper,RETRACT_LATERAL,Gallbladder,on,lateral,none,unknown,Unknown,unknown,
The off-screen left grasper maintains stable lateral retraction on the gallbladder infundibulum.,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a,1ecfaf41-7ed8-4d2b-80f3-b370ea1ff55a__C2__avg__c_000000_000450,fine_0,2,37,offscreen,Grasper,RETRACT_LATERAL,GallbladderNeck_Infundibulum,on,lateral,none,unknown,Unknown,unknown,
"The left grasper retracts the gallbladder from the patient's left toward the patient's right, rotating it and improving exposure of the gallbladder-liver dissection plane.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,coarse,2,44,left_instrument,Grasper,RETRACT_ROTATE_VIEW,Gallbladder,on,unknown,rotated/new_surface_exposed,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder from the patient's left toward the patient's right, rotating it and improving exposure of the hepatocystic triangle.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,coarse,3,44,left_instrument,Grasper,RETRACT_ROTATE_VIEW,HepatocysticTriangle,on,unknown,rotated/new_surface_exposed,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder from the patient's right toward the patient's left, rotating it and improving exposure of the hepatocystic triangle.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,coarse,3,44,left_instrument,Grasper,RETRACT_ROTATE_VIEW,HepatocysticTriangle,on,unknown,rotated/new_surface_exposed,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper changes from lateral to cephalad retraction, rotating the gallbladder to expose a more posterior view of the liver bed plane.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,coarse,2,41,left_instrument,Grasper,RETRACT_ROTATE_VIEW,LiverBed,on,cephalad/upward+lateral+posterior,rotated/new_surface_exposed,improve_exposure,LiverBed,unknown,
"The left grasper retracts the gallbladder upward and rotates it, shifting exposure to the posterior surface and lifting it off the liver bed.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,coarse,1,56,left_instrument,Grasper,RETRACT_ROTATE_VIEW,LiverBed,on,cephalad/upward+posterior,rotated/new_surface_exposed,improve_exposure,LiverBed,unknown,
"The left grasper retracts the gallbladder neck upward and rotates it, shifting exposure to the posterior surface and lifting it off the liver bed.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,fine_0,2,56,left_instrument,Grasper,RETRACT_ROTATE_VIEW,LiverBed,on,cephalad/upward+posterior,rotated/new_surface_exposed,improve_exposure,LiverBed,unknown,
"The left grasper retracts the gallbladder from the patient's left toward the patient's right, rotating it and improving exposure of the two tubular structures.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,coarse,1,44,left_instrument,Grasper,RETRACT_ROTATE_VIEW,TwoTubularStructures,on,unknown,rotated/new_surface_exposed,improve_exposure,TwoTubularStructures,unknown,
"The left grasper retracts the gallbladder from the patient's left toward the patient's right, rotating it and improving exposure of the two tubular structures.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,coarse,2,44,left_instrument,Grasper,RETRACT_ROTATE_VIEW,TwoTubularStructures,on,unknown,rotated/new_surface_exposed,improve_exposure,TwoTubularStructures,unknown,
"The left grasper maintains upward retraction on the gallbladder, exposing the surgical area.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,coarse,2,38,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper maintains upward retraction on the gallbladder, exposing the surgical area.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,fine_0,2,38,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper provides upward retraction on the gallbladder to expose the surgical field.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,fine_0,2,38,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder upward to maintain exposure.,004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,fine_0,2,47,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder upward to expose its attachment to the liver.,06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,fine_0,2,49,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder upward to expose its detachment from the liver.,0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,coarse,2,49,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,on,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder upward to expose the dissection plane.,0a094835-5933-4f29-a184-6bfa46579272,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,coarse,2,50,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper retracts the gallbladder upward to maintain exposure of the surgical field.,0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder upward, exposing the cleared triangle.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left-sided grasper retracts the gallbladder upward to maintain exposure of the surgical field.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder, maintaining tension on the dissection plane.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,fine_0,2,50,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,unknown,none,unknown,Unknown,unknown,
"The left grasper retracts the gallbladder upward, creating tension and separating the duct and artery.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_001200_001950,coarse,1,55,left_instrument,Grasper,RETRACT_UPWARD,Gallbladder,unknown,cephalad/upward,none,unknown,Unknown,unknown,
"The left grasper maintains retraction on the gallbladder infundibulum, exposing the surgical field.",0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,coarse,2,38,left_instrument,Grasper,RETRACT_UPWARD,GallbladderNeck_Infundibulum,unknown,unknown,none,improve_exposure,SurgicalFieldGeneral,unknown,
"The left grasper retracts the gallbladder neck upward, providing tension for dissection and exposure of the triangle.",021ebd6a-3195-40ac-b86d-99ac5e5ef621,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,fine_0,2,54,left_instrument,Grasper,RETRACT_UPWARD,GallbladderNeck_Infundibulum,unknown,cephalad/upward,none,improve_exposure,SurgicalFieldGeneral,unknown,
The left grasper maintains stable cephalad retraction on the gallbladder neck.,0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,fine_0,1,37,left_instrument,Grasper,RETRACT_UPWARD,GallbladderNeck_Infundibulum,unknown,cephalad/upward,none,unknown,Unknown,unknown,
The left grasper provides sustained upward retraction on the gallbladder neck.,06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,fine_0,1,37,left_instrument,Grasper,RETRACT_UPWARD,GallbladderNeck_Infundibulum,unknown,cephalad/upward,none,unknown,Unknown,unknown,
The left grasper retracts the gallbladder upward at the gallbladder neck/infundibulum.,01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,fine_0,2,46,left_instrument,Grasper,RETRACT_UPWARD,GallbladderNeck_Infundibulum,unknown,cephalad/upward,none,unknown,Unknown,unknown,
The left grasper retracts the gallbladder upward from the neck/infundibulum.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,coarse,2,46,left_instrument,Grasper,RETRACT_UPWARD,GallbladderNeck_Infundibulum,on,cephalad/upward,none,unknown,Unknown,unknown,
"The left grasper maintains cephalad retraction on the gallbladder, exposing the hepatocystic triangle.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,coarse,2,38,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper maintains upward retraction on the gallbladder, exposing the hepatocystic triangle for dissection.",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000000_000300,fine_0,2,38,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper maintains upward retraction on the gallbladder, exposing the hepatocystic triangle.",004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,fine_0,2,38,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle for dissection.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,fine_0,2,51,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle for dissection.",0c54c281-0d1f-4403-81ee-82fcfc3c0d76,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,coarse,2,51,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle for dissection.",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,fine_0,2,51,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle for dissection.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,coarse,2,51,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder neck upward to expose the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_000000_000450,fine_0,1,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder neck upward, exposing the cleared hepatocystic triangle.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_000000_000600,fine_0,1,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to expose the hepatocystic triangle.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,coarse,1,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to expose the hepatocystic triangle.,1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C2__avg__c_001200_001950,coarse,1,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing a clear view of the hepatocystic triangle.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,fine_0,1,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder cephalad, maintaining exposure of the hepatocystic triangle.",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_001500_001800,fine_0,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to create tension and expose the hepatocystic triangle.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to expose the hepatocystic triangle.,10dea02a-5502-4f05-ba3b-191e38fe4b29,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to expose the hepatocystic triangle.,144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to maintain exposure of the hepatocystic triangle.,0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,fine_0,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
The left grasper retracts the gallbladder upward to maintain exposure of the hepatocystic triangle.,144fef8d-eaed-48ac-ba3b-a7a214e95f42,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,fine_0,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, creating tension in the hepatocystic triangle.",1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000600_000750,fine_0,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,unknown,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle.",00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C1__avg__c_001950_002400,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle.",0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,fine_0,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
"The left grasper retracts the gallbladder upward, exposing the hepatocystic triangle.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,coarse,2,53,left_instrument,Grasper,RETRACT_UPWARD,HepatocysticTriangle,unknown,cephalad/upward,none,improve_exposure,HepatocysticTriangle,unknown,
